Country,Year,Arrivals,,,,,,,,,,,,,,,
Singapore,2025,"4,401,890",,,,,,,,,,,,,,,
Singapore,2024,"9,099,727",,,,,,,,,,,,,,,
Singapore,2023,"8,308,230",,,,,,,,,,,,,,,
Singapore,2022,"5,222,991",,,,,,,,,,,,,,,
Singapore,2021,"16,308",,,,,,,,,,,,,,,
Singapore,2020,"1,545,255",,,,,,,,,,,,,,,
Singapore,2019,"10,163,882",,,,,,,,,,,,,,,
Singapore,2018,"10,615,986",,,,,,,,,,,,,,,
Singapore,2017,"12,441,713",,,,,,,,,,,,,,,
Singapore,2016,"13,272,961",,,,,,,,,,,,,,,
Singapore,2015,"12,930,754",,,,,,,,,,,,,,,
Indonesia,2025,"1,933,010",,,,,,,,,,,,,,,
Indonesia,2024,"3,651,668",,,,,,,,,,,,,,,
Indonesia,2023,"3,108,165",,,,,,,,,,,,,,,
Indonesia,2022,"1,481,739",,,,,,,,,,,,,,,
Indonesia,2021,"11,025",,,,,,,,,,,,,,,
Indonesia,2020,"711,723",,,,,,,,,,,,,,,
Indonesia,2019,"3,623,277",,,,,,,,,,,,,,,
Indonesia,2018,"3,277,689",,,,,,,,,,,,,,,
Indonesia,2017,"2,796,570",,,,,,,,,,,,,,,
Indonesia,2016,"3,049,964",,,,,,,,,,,,,,,
Indonesia,2015,"2,788,033",,,,,,,,,,,,,,,
China,2025,"1,852,505",,,,,,,,,,,,,,,
China,2024,"3,287,362",,,,,,,,,,,,,,,
China,2023,"1,474,114",,,,,,,,,,,,,,,
China,2022,"211,363",,,,,,,,,,,,,,,
China,2021,"7,701",,,,,,,,,,,,,,,
China,2020,"405,149",,,,,,,,,,,,,,,
China,2019,"3,114,257",,,,,,,,,,,,,,,
China,2018,"2,944,133",,,,,,,,,,,,,,,
China,2017,"2,281,666",,,,,,,,,,,,,,,
China,2016,"2,124,942",,,,,,,,,,,,,,,
China,2015,"1,677,163",,,,,,,,,,,,,,,
Thailand,2025,"875,190",,,,,,,,,,,,,,,
Thailand,2024,"1,639,211",,,,,,,,,,,,,,,
Thailand,2023,"1,551,282",,,,,,,,,,,,,,,
Thailand,2022,"715,528",,,,,,,,,,,,,,,
Thailand,2021,"59,607",,,,,,,,,,,,,,,
Thailand,2020,"394,413",,,,,,,,,,,,,,,
Thailand,2019,"1,884,306",,,,,,,,,,,,,,,
Thailand,2018,"1,914,692",,,,,,,,,,,,,,,
Thailand,2017,"1,836,522",,,,,,,,,,,,,,,
Thailand,2016,"1,780,800",,,,,,,,,,,,,,,
Thailand,2015,"1,343,569",,,,,,,,,,,,,,,
India,2025,"638,456",,,,,,,,,,,,,,,
India,2024,"1,133,331",,,,,,,,,,,,,,,
India,2023,"671,846",,,,,,,,,,,,,,,
India,2022,"324,548",,,,,,,,,,,,,,,
India,2021,"3,916",,,,,,,,,,,,,,,
India,2020,"155,883",,,,,,,,,,,,,,,
India,2019,"735,309",,,,,,,,,,,,,,,
India,2018,"600,311",,,,,,,,,,,,,,,
India,2017,"552,739",,,,,,,,,,,,,,,
India,2016,"638,578",,,,,,,,,,,,,,,
India,2015,"722,141",,,,,,,,,,,,,,,
Brunei,2025,"490,197",,,,,,,,,,,,,,,
Brunei,2024,"1,142,134",,,,,,,,,,,,,,,
Brunei,2023,"811,833",,,,,,,,,,,,,,,
Brunei,2022,"301,757",,,,,,,,,,,,,,,
Brunei,2021,773,,,,,,,,,,,,,,,
Brunei,2020,"136,020",,,,,,,,,,,,,,,
Brunei,2019,"1,216,123",,,,,,,,,,,,,,,
Brunei,2018,"1,382,031",,,,,,,,,,,,,,,
Brunei,2017,"1,660,506",,,,,,,,,,,,,,,
Brunei,2016,"1,391,016",,,,,,,,,,,,,,,
Brunei,2015,"1,133,555",,,,,,,,,,,,,,,
South Korea,2025,"230,503",,,,,,,,,,,,,,,
South Korea,2024,"475,815",,,,,,,,,,,,,,,
South Korea,2023,"400,853",,,,,,,,,,,,,,,
South Korea,2022,"146,384",,,,,,,,,,,,,,,
South Korea,2021,"3,028",,,,,,,,,,,,,,,
South Korea,2020,"119,750",,,,,,,,,,,,,,,
South Korea,2019,"673,065",,,,,,,,,,,,,,,
South Korea,2018,"616,783",,,,,,,,,,,,,,,
South Korea,2017,"484,528",,,,,,,,,,,,,,,
South Korea,2016,"444,439",,,,,,,,,,,,,,,
South Korea,2015,"421,161",,,,,,,,,,,,,,,
Philippines,2025,"196,921",,,,,,,,,,,,,,,
Philippines,2024,"400,912",,,,,,,,,,,,,,,
Philippines,2023,"339,282",,,,,,,,,,,,,,,
Philippines,2022,"159,442",,,,,,,,,,,,,,,
Philippines,2021,"2,317",,,,,,,,,,,,,,,
Philippines,2020,"66,051",,,,,,,,,,,,,,,
Philippines,2019,"421,908",,,,,,,,,,,,,,,
Philippines,2018,"396,062",,,,,,,,,,,,,,,
Philippines,2017,"370,559",,,,,,,,,,,,,,,
Philippines,2016,"417,446",,,,,,,,,,,,,,,
Philippines,2015,"554,917",,,,,,,,,,,,,,,
Taiwan,2025,"196,724",,,,,,,,,,,,,,,
Taiwan,2024,"385,415",,,,,,,,,,,,,,,
Taiwan,2023,"283,380",,,,,,,,,,,,,,,
Taiwan,2022,"48,132",,,,,,,,,,,,,,,
Taiwan,2021,563,,,,,,,,,,,,,,,
Taiwan,2020,"60,090",,,,,,,,,,,,,,,
Taiwan,2019,"382,916",,,,,,,,,,,,,,,
Taiwan,2018,"383,922",,,,,,,,,,,,,,,
Taiwan,2017,"332,927",,,,,,,,,,,,,,,
Taiwan,2016,"300,861",,,,,,,,,,,,,,,
Taiwan,2015,"283,224",,,,,,,,,,,,,,,
Australia,2025,"196,458",,,,,,,,,,,,,,,
Australia,2024,"382,628",,,,,,,,,,,,,,,
Australia,2023,"343,438",,,,,,,,,,,,,,,
Australia,2022,"152,265",,,,,,,,,,,,,,,
Australia,2021,"1,321",,,,,,,,,,,,,,,
Australia,2020,"72,680",,,,,,,,,,,,,,,
Australia,2019,"368,271",,,,,,,,,,,,,,,
Australia,2018,"351,500",,,,,,,,,,,,,,,
Australia,2017,"351,232",,,,,,,,,,,,,,,
Australia,2016,"377,727",,,,,,,,,,,,,,,
Australia,2015,"486,948",,,,,,,,,,,,,,,
United Kingdom,2025,"188,542",,,,,,,,,,,,,,,
United Kingdom,2024,"345,438",,,,,,,,,,,,,,,
United Kingdom,2023,"272,297",,,,,,,,,,,,,,,
United Kingdom,2022,"134,667",,,,,,,,,,,,,,,
United Kingdom,2021,"2,676",,,,,,,,,,,,,,,
United Kingdom,2020,"63,868",,,,,,,,,,,,,,,
United Kingdom,2019,"346,485",,,,,,,,,,,,,,,
United Kingdom,2018,"361,335",,,,,,,,,,,,,,,
United Kingdom,2017,"358,818",,,,,,,,,,,,,,,
United Kingdom,2016,"400,269",,,,,,,,,,,,,,,
United Kingdom,2015,"401,019",,,,,,,,,,,,,,,
Japan,2025,"154,002",,,,,,,,,,,,,,,
Japan,2024,"307,883",,,,,,,,,,,,,,,
Japan,2023,"229,892",,,,,,,,,,,,,,,
Japan,2022,"83,309",,,,,,,,,,,,,,,
Japan,2021,"3,114",,,,,,,,,,,,,,,
Japan,2020,"74,383",,,,,,,,,,,,,,,
Japan,2019,"424,694",,,,,,,,,,,,,,,
Japan,2018,"394,540",,,,,,,,,,,,,,,
Japan,2017,"392,777",,,,,,,,,,,,,,,
Japan,2016,"413,768",,,,,,,,,,,,,,,
Japan,2015,"483,569",,,,,,,,,,,,,,,
Vietnam,2025,"146,139",,,,,,,,,,,,,,,
Vietnam,2024,"330,189",,,,,,,,,,,,,,,
Vietnam,2023,"344,361",,,,,,,,,,,,,,,
Vietnam,2022,"173,763",,,,,,,,,,,,,,,
Vietnam,2021,583,,,,,,,,,,,,,,,
Vietnam,2020,"64,184",,,,,,,,,,,,,,,
Vietnam,2019,"400,346",,,,,,,,,,,,,,,
Vietnam,2018,"375,578",,,,,,,,,,,,,,,
Vietnam,2017,"248,927",,,,,,,,,,,,,,,
Vietnam,2016,"216,877",,,,,,,,,,,,,,,
Vietnam,2015,"229,926",,,,,,,,,,,,,,,
United States,2025,"144,979",,,,,,,,,,,,,,,
