Country,Year,Arrivals
Singapore,2025,4401890
Singapore,2024,9099727
Singapore,2023,8308230
Singapore,2022,5222991
Singapore,2021,16308
Singapore,2020,1545255
Singapore,2019,10163882
Singapore,2018,10615986
Singapore,2017,12441713
Singapore,2016,13272961
Singapore,2015,12930754
Indonesia,2025,1933010
Indonesia,2024,3651668
Indonesia,2023,3108165
Indonesia,2022,1481739
Indonesia,2021,11025
Indonesia,2020,711723
Indonesia,2019,3623277
Indonesia,2018,3277689
Indonesia,2017,2796570
Indonesia,2016,3049964
Indonesia,2015,2788033
China,2025,1852505
China,2024,3287362
China,2023,1474114
China,2022,211363
China,2021,7701
China,2020,405149
China,2019,3114257
China,2018,2944133
China,2017,2281666
China,2016,2124942
China,2015,1677163
Thailand,2025,875190
Thailand,2024,1639211
Thailand,2023,1551282
Thailand,2022,715528
Thailand,2021,59607
Thailand,2020,394413
Thailand,2019,1884306
Thailand,2018,1914692
Thailand,2017,1836522
Thailand,2016,1780800
Thailand,2015,1343569
India,2025,638456
India,2024,1133331
India,2023,671846
India,2022,324548
India,2021,3916
India,2020,155883
India,2019,735309
India,2018,600311
India,2017,552739
India,2016,638578
India,2015,722141
Brunei Darussalam,2025,490197
Brunei Darussalam,2024,1142134
Brunei Darussalam,2023,811833
Brunei Darussalam,2022,301757
Brunei Darussalam,2021,773
Brunei Darussalam,2020,136020
Brunei Darussalam,2019,1216123
Brunei Darussalam,2018,1382031
Brunei Darussalam,2017,1660506
Brunei Darussalam,2016,1391016
Brunei Darussalam,2015,1133555
"Korea, Republic of",2025,230503
"Korea, Republic of",2024,475815
"Korea, Republic of",2023,400853
"Korea, Republic of",2022,146384
"Korea, Republic of",2021,3028
"Korea, Republic of",2020,119750
"Korea, Republic of",2019,673065
"Korea, Republic of",2018,616783
"Korea, Republic of",2017,484528
"Korea, Republic of",2016,444439
"Korea, Republic of",2015,421161
Philippines,2025,196921
Philippines,2024,400912
Philippines,2023,339282
Philippines,2022,159442
Philippines,2021,2317
Philippines,2020,66051
Philippines,2019,421908
Philippines,2018,396062
Philippines,2017,370559
Philippines,2016,417446
Philippines,2015,554917
Taiwan,2025,196724
Taiwan,2024,385415
Taiwan,2023,283380
Taiwan,2022,48132
Taiwan,2021,563
Taiwan,2020,60090
Taiwan,2019,382916
Taiwan,2018,383922
Taiwan,2017,332927
Taiwan,2016,300861
Taiwan,2015,283224
Australia,2025,196458
Australia,2024,382628
Australia,2023,343438
Australia,2022,152265
Australia,2021,1321
Australia,2020,72680
Australia,2019,368271
Australia,2018,351500
Australia,2017,351232
Australia,2016,377727
Australia,2015,486948
United Kingdom,2025,188542
United Kingdom,2024,345438
United Kingdom,2023,272297
United Kingdom,2022,134667
United Kingdom,2021,2676
United Kingdom,2020,63868
United Kingdom,2019,346485
United Kingdom,2018,361335
United Kingdom,2017,358818
United Kingdom,2016,400269
United Kingdom,2015,401019
Japan,2025,154002
Japan,2024,307883
Japan,2023,229892
Japan,2022,83309
Japan,2021,3114
Japan,2020,74383
Japan,2019,424694
Japan,2018,394540
Japan,2017,392777
Japan,2016,413768
Japan,2015,483569
Vietnam,2025,146139
Vietnam,2024,330189
Vietnam,2023,344361
Vietnam,2022,173763
Vietnam,2021,583
Vietnam,2020,64184
Vietnam,2019,400346
Vietnam,2018,375578
Vietnam,2017,248927
Vietnam,2016,216877
Vietnam,2015,229926
United States of America,2025,144979
United States of America,2024,271809
United States of America,2023,229476
United States of America,2022,108141
United States of America,2021,2030
United States of America,2020,48810
United States of America,2019,269928
United States of America,2018,253384
United States of America,2017,198203
United States of America,2016,217075
United States of America,2015,237768
Bangladesh,2025,135310
Bangladesh,2024,143919
Bangladesh,2023,142748
Bangladesh,2022,59033
Bangladesh,2021,1509
Bangladesh,2020,17634
Bangladesh,2019,179000
Bangladesh,2018,150053
Bangladesh,2017,111836
Bangladesh,2016,114607
Bangladesh,2015,147152
France,2025,93676
France,2024,160637
France,2023,115145
France,2022,55087
France,2021,843
France,2020,28237
France,2019,141661
France,2018,139408
France,2017,131668
France,2016,134257
France,2015,151474
Germany,2025,89890
Germany,2024,155848
Germany,2023,125987
Germany,2022,57780
Germany,2021,824
Germany,2020,27458
Germany,2019,130221
Germany,2018,128895
Germany,2017,109816
Germany,2016,130276
Germany,2015,144910
Myanmar,2025,75219
Myanmar,2024,114551
Myanmar,2023,86298
Myanmar,2022,36765
Myanmar,2021,377
Myanmar,2020,9745
Myanmar,2019,46257
Myanmar,2018,38513
Myanmar,2017,42314
Myanmar,2016,49175
Myanmar,2015,66553
Russia,2025,68118
Russia,2024,112806
Russia,2023,109689
Russia,2022,33003
Russia,2021,399
Russia,2020,28694
Russia,2019,79984
Russia,2018,72785
Russia,2017,67564
Russia,2016,50893
Russia,2015,55263
Pakistan,2025,61015
Pakistan,2024,102570
Pakistan,2023,107657
Pakistan,2022,60535
Pakistan,2021,2043
Pakistan,2020,17777
Pakistan,2019,105757
Pakistan,2018,74458
Pakistan,2017,53453
Pakistan,2016,58388
Pakistan,2015,69112
Canada,2025,49006
Canada,2024,86882
Canada,2023,71981
Canada,2022,30656
Canada,2021,471
Canada,2020,16631
Canada,2019,87568
Canada,2018,84705
Canada,2017,67056
Canada,2016,72337
Canada,2015,79557
Netherlands,2025,37932
Netherlands,2024,82964
Netherlands,2023,68448
Netherlands,2022,31070
Netherlands,2021,466
Netherlands,2020,14486
Netherlands,2019,82110
Netherlands,2018,81651
Netherlands,2017,75885
Netherlands,2016,72200
Netherlands,2015,84584
Sri Lanka,2025,30404
Sri Lanka,2024,58015
Sri Lanka,2023,55050
Sri Lanka,2022,24906
Sri Lanka,2021,385
Sri Lanka,2020,8142
Sri Lanka,2019,26058
Sri Lanka,2018,28376
Sri Lanka,2017,43738
Sri Lanka,2016,33340
Sri Lanka,2015,51337
Italy,2025,28915
Italy,2024,69781
Italy,2023,48440
Italy,2022,18866
Italy,2021,300
Italy,2020,8971
Italy,2019,54710
Italy,2018,52055
Italy,2017,44638
Italy,2016,42747
Italy,2015,51946
Spain,2025,26882
Spain,2024,60527
Spain,2023,40762
Spain,2022,20474
Spain,2021,147
Spain,2020,6367
Spain,2019,43616
Spain,2018,42267
Spain,2017,35149
Spain,2016,28018
Spain,2015,36692
Cambodia,2025,26581
Cambodia,2024,63964
Cambodia,2023,72627
Cambodia,2022,39823
Cambodia,2021,250
Cambodia,2020,16548
Cambodia,2019,97097
Cambodia,2018,90113
Cambodia,2017,42004
Cambodia,2016,61844
Cambodia,2015,75059
Poland,2025,24513
Poland,2024,36821
Poland,2023,21472
Poland,2022,8472
Poland,2021,161
Poland,2020,7539
Poland,2019,27033
Poland,2018,24364
Poland,2017,20067
Poland,2016,19768
Poland,2015,19920
New Zealand,2025,23854
New Zealand,2024,47961
New Zealand,2023,42955
New Zealand,2022,18238
New Zealand,2021,196
New Zealand,2020,8794
New Zealand,2019,50140
New Zealand,2018,50698
New Zealand,2017,55923
New Zealand,2016,53352
New Zealand,2015,60846
Saudi Arabia,2025,22929
Saudi Arabia,2024,62764
Saudi Arabia,2023,51375
Saudi Arabia,2022,35980
Saudi Arabia,2021,687
Saudi Arabia,2020,23390
Saudi Arabia,2019,121444
Saudi Arabia,2018,112263
Saudi Arabia,2017,100549
Saudi Arabia,2016,123878
Saudi Arabia,2015,99754
Kazakhstan,2025,17935
Kazakhstan,2024,30730
Kazakhstan,2023,8298
Kazakhstan,2022,2836
Kazakhstan,2021,141
Kazakhstan,2020,6065
Kazakhstan,2019,18138
Kazakhstan,2018,13861
Kazakhstan,2017,12577
Kazakhstan,2016,10717
Kazakhstan,2015,15410
Turkey,2025,15576
Turkey,2024,23986
Turkey,2023,17275
Turkey,2022,7169
Turkey,2021,286
Turkey,2020,3152
Turkey,2019,15290
Turkey,2018,15406
Turkey,2017,14594
Turkey,2016,13029
Turkey,2015,15395
Switzerland,2025,15372
Switzerland,2024,28035
Switzerland,2023,23312
Switzerland,2022,10486
Switzerland,2021,197
Switzerland,2020,5263
Switzerland,2019,25659
Switzerland,2018,25680
Switzerland,2017,20775
Switzerland,2016,26628
Switzerland,2015,28141
Sweden,2025,11902
