State,DestinationState,Visitors
Johor,Johor,3704714
Johor,Kedah,196667
Johor,Kelantan,425275
Johor,Melaka,1528012
Johor,Negeri Sembilan,616968
Johor,Pahang,919966
Johor,Penang,221252
Johor,Perak,403301
Johor,Perlis,95567
Johor,Selangor,1746841
Johor,Terengganu,188495
Johor,Sabah,168943
Johor,Sarawak,209896
Johor,Kuala Lumpur,787645
Johor,Labuan,13350
Johor,Putrajaya,52906
Kedah,Johor,133108
Kedah,Kedah,1787510
Kedah,Kelantan,276209
Kedah,Melaka,96196
Kedah,Negeri Sembilan,233341
Kedah,Pahang,248758
Kedah,Penang,450051
Kedah,Perak,723289
Kedah,Perlis,130848
Kedah,Selangor,297097
Kedah,Terengganu,61220
Kedah,Sabah,32865
Kedah,Sarawak,30214
Kedah,Kuala Lumpur,254910
Kedah,Labuan,7133
Kedah,Putrajaya,87496
Kelantan,Johor,115899
Kelantan,Kedah,132209
Kelantan,Kelantan,977965
Kelantan,Melaka,8592
Kelantan,Negeri Sembilan,106131
Kelantan,Pahang,251898
Kelantan,Penang,146896
Kelantan,Perak,221977
Kelantan,Perlis,34466
Kelantan,Selangor,259034
Kelantan,Terengganu,496820
Kelantan,Sabah,28812
Kelantan,Sarawak,3600
Kelantan,Kuala Lumpur,232399
Kelantan,Labuan,3283
Kelantan,Putrajaya,95755
Melaka,Johor,459072
Melaka,Kedah,122587
Melaka,Kelantan,79537
Melaka,Melaka,266106
Melaka,Negeri Sembilan,379134
Melaka,Pahang,254647
Melaka,Penang,106225
Melaka,Perak,259154
Melaka,Perlis,3154
Melaka,Selangor,378083
Melaka,Terengganu,74915
Melaka,Sabah,78204
Melaka,Sarawak,27792
Melaka,Kuala Lumpur,458258
Melaka,Labuan,1593
Melaka,Putrajaya,41326
Negeri Sembilan,Johor,464774
Negeri Sembilan,Kedah,71578
Negeri Sembilan,Kelantan,258247
Negeri Sembilan,Melaka,359632
Negeri Sembilan,Negeri Sembilan,714607
Negeri Sembilan,Pahang,459935
Negeri Sembilan,Penang,140479
Negeri Sembilan,Perak,315022
Negeri Sembilan,Perlis,18340
Negeri Sembilan,Selangor,351433
Negeri Sembilan,Terengganu,136393
Negeri Sembilan,Sabah,8786
Negeri Sembilan,Sarawak,9935
Negeri Sembilan,Kuala Lumpur,256050
Negeri Sembilan,Labuan,6764
Negeri Sembilan,Putrajaya,36296
Pahang,Johor,538802
Pahang,Kedah,122385
Pahang,Kelantan,474376
Pahang,Melaka,134318
Pahang,Negeri Sembilan,221144
Pahang,Pahang,1981222
Pahang,Penang,119939
Pahang,Perak,489012
Pahang,Perlis,25780
Pahang,Selangor,383805
Pahang,Terengganu,686073
Pahang,Sabah,61941
Pahang,Sarawak,8744
Pahang,Kuala Lumpur,467780
Pahang,Labuan,5887
