Year,State,Visitors
2015,Johor,11589000
2015,Kedah,12425000
2015,Kelantan,9070000
2015,Melaka,11552000
2015,Negeri Sembilan,9984000
2015,Pahang,14398000
2015,Pulau Pinang,9341000
2015,Perak,15966000
2015,Perlis,1410000
2015,Selangor,22063000
2015,Terengganu,11483000
2015,Sabah,15722000
2015,Sarawak,15355000
2015,W.P. Kuala Lumpur,15080000
2015,W.P. Labuan,310000
2015,W.P. Putrajaya,1188000
2016,Johor,12207000
2016,Kedah,13188000
2016,Kelantan,8646000
2016,Melaka,12268000
2016,Negeri Sembilan,10130000
2016,Pahang,14168000
2016,Pulau Pinang,12565000
2016,Perak,16783000
2016,Perlis,1410000
2016,Selangor,24124000
2016,Terengganu,12010000
2016,Sabah,16518000
2016,Sarawak,16282000
2016,W.P. Kuala Lumpur,16784000
2016,W.P. Labuan,354000
2016,W.P. Putrajaya,1816000
2017,Johor,13141000
2017,Kedah,13305000
2017,Kelantan,9624000
2017,Melaka,12625000
2017,Negeri Sembilan,10822000
2017,Pahang,16491000
2017,Pulau Pinang,12643000
2017,Perak,20110000
2017,Perlis,1414000
2017,Selangor,25491000
2017,Terengganu,12979000
2017,Sabah,17792000
2017,Sarawak,17670000
2017,W.P. Kuala Lumpur,19049000
2017,W.P. Labuan,381000
2017,W.P. Putrajaya,1872000
2018,Johor,13487000
2018,Kedah,14480000
2018,Kelantan,9846000
2018,Melaka,13123000
2018,Negeri Sembilan,12802000
2018,Pahang,18111000
2018,Pulau Pinang,14450000
2018,Perak,17553000
2018,Perlis,2156000
2018,Selangor,30179000
2018,Terengganu,13742000
2018,Sabah,20360000
2018,Sarawak,19380000
2018,W.P. Kuala Lumpur,19165000
2018,W.P. Labuan,545000
2018,W.P. Putrajaya,1892000
2019,Johor,14274000
2019,Kedah,14831000
2019,Kelantan,10986000
2019,Melaka,13979000
2019,Negeri Sembilan,13303000
2019,Pahang,18498000
2019,Pulau Pinang,15411000
2019,Perak,21070000
2019,Perlis,2088000
2019,Selangor,33589000
2019,Terengganu,14158000
2019,Sabah,22035000
2019,Sarawak,19793000
2019,W.P. Kuala Lumpur,22633000
2019,W.P. Labuan,524000
2019,W.P. Putrajaya,1949000
2020,Johor,7243000
2020,Kedah,10831000
2020,Kelantan,6058000
2020,Melaka,7275000
2020,Negeri Sembilan,7918000
2020,Pahang,9905000
2020,Pulau Pinang,8929000
2020,Perak,13173000
2020,Perlis,1193000
2020,Selangor,19715000
2020,Terengganu,7420000
2020,Sabah,10337000
2020,Sarawak,9393000
2020,W.P. Kuala Lumpur,12435000
2020,W.P. Labuan,107000
2020,W.P. Putrajaya,451000
2021,Johor,3658000
2021,Kedah,4023000
2021,Kelantan,1921000
2021,Melaka,3878000
2021,Negeri Sembilan,5485000
2021,Pahang,3405000
2021,Pulau Pinang,5061000
2021,Perak,4489000
2021,Perlis,407000
2021,Selangor,10212000
2021,Terengganu,3719000
2021,Sabah,3815000
2021,Sarawak,6511000
2021,W.P. Kuala Lumpur,9116000
2021,W.P. Labuan,54000
2021,W.P. Putrajaya,223000
2022,Johor,12376000
2022,Kedah,11186000
2022,Kelantan,6627000
2022,Melaka,11757000
2022,Negeri Sembilan,11490000
2022,Pahang,13189000
2022,Pulau Pinang,10003000
2022,Perak,14567000
2022,Perlis,1669000
2022,Selangor,21990000
2022,Terengganu,10233000
2022,Sabah,12589000
2022,Sarawak,15465000
2022,W.P. Kuala Lumpur,16913000
2022,W.P. Labuan,244000
2022,W.P. Putrajaya,1306000
2023,Johor,15805000
2023,Kedah,13444000
2023,Kelantan,7549000
2023,Melaka,15559000
2023,Negeri Sembilan,14959000
2023,Pahang,16456000
2023,Pulau Pinang,13128000
2023,Perak,17108000
2023,Perlis,1951000
2023,Selangor,27579000
2023,Terengganu,11761000
2023,Sabah,16080000
2023,Sarawak,17901000
2023,W.P. Kuala Lumpur,22233000
2023,W.P. Labuan,331000
2023,W.P. Putrajaya,1900000
2024,Johor,17138000
2024,Kedah,14651000
2024,Kelantan,10514000
2024,Melaka,19128000
2024,Negeri Sembilan,17785000
2024,Pahang,20174000
2024,Pulau Pinang,16605000
2024,Perak,21776000
2024,Perlis,3225000
2024,Selangor,34461000
2024,Terengganu,14461000
2024,Sabah,20592000
2024,Sarawak,19626000
2024,W.P. Kuala Lumpur,26983000
2024,W.P. Labuan,450000
2024,W.P. Putrajaya,2557000
