Year,State,Visitors,StateYear
2015,Johor,11589000,Johor_2015
2015,Kedah,12425000,Kedah_2015
2015,Kelantan,9070000,Kelantan_2015
2015,Melaka,11552000,Melaka_2015
2015,Negeri Sembilan,9984000,Negeri Sembilan_2015
2015,Pahang,14398000,Pahang_2015
2015,Penang,9341000,Penang_2015
2015,Perak,15966000,Perak_2015
2015,Perlis,1410000,Perlis_2015
2015,Selangor,22063000,Selangor_2015
2015,Terengganu,11483000,Terengganu_2015
2015,Sabah,15722000,Sabah_2015
2015,Sarawak,15355000,Sarawak_2015
2015,Kuala Lumpur,15080000,Kuala Lumpur_2015
2015,Labuan,310000,Labuan_2015
2015,Putrajaya,1188000,Putrajaya_2015
2016,Johor,12207000,Johor_2016
2016,Kedah,13188000,Kedah_2016
2016,Kelantan,8646000,Kelantan_2016
2016,Melaka,12268000,Melaka_2016
2016,Negeri Sembilan,10130000,Negeri Sembilan_2016
2016,Pahang,14168000,Pahang_2016
2016,Penang,12565000,Penang_2016
2016,Perak,16783000,Perak_2016
2016,Perlis,1410000,Perlis_2016
2016,Selangor,24124000,Selangor_2016
2016,Terengganu,12010000,Terengganu_2016
2016,Sabah,16518000,Sabah_2016
2016,Sarawak,16282000,Sarawak_2016
2016,Kuala Lumpur,16784000,Kuala Lumpur_2016
2016,Labuan,354000,Labuan_2016
2016,Putrajaya,1816000,Putrajaya_2016
2017,Johor,13141000,Johor_2017
2017,Kedah,13305000,Kedah_2017
2017,Kelantan,9624000,Kelantan_2017
2017,Melaka,12625000,Melaka_2017
2017,Negeri Sembilan,10822000,Negeri Sembilan_2017
2017,Pahang,16491000,Pahang_2017
2017,Penang,12643000,Penang_2017
2017,Perak,20110000,Perak_2017
2017,Perlis,1414000,Perlis_2017
2017,Selangor,25491000,Selangor_2017
2017,Terengganu,12979000,Terengganu_2017
2017,Sabah,17792000,Sabah_2017
2017,Sarawak,17670000,Sarawak_2017
2017,Kuala Lumpur,19049000,Kuala Lumpur_2017
2017,Labuan,381000,Labuan_2017
2017,Putrajaya,1872000,Putrajaya_2017
2018,Johor,13487000,Johor_2018
2018,Kedah,14480000,Kedah_2018
2018,Kelantan,9846000,Kelantan_2018
2018,Melaka,13123000,Melaka_2018
2018,Negeri Sembilan,12802000,Negeri Sembilan_2018
2018,Pahang,18111000,Pahang_2018
2018,Penang,14450000,Penang_2018
2018,Perak,17553000,Perak_2018
2018,Perlis,2156000,Perlis_2018
2018,Selangor,30179000,Selangor_2018
2018,Terengganu,13742000,Terengganu_2018
2018,Sabah,20360000,Sabah_2018
2018,Sarawak,19380000,Sarawak_2018
2018,Kuala Lumpur,19165000,Kuala Lumpur_2018
2018,Labuan,545000,Labuan_2018
2018,Putrajaya,1892000,Putrajaya_2018
2019,Johor,14274000,Johor_2019
2019,Kedah,14831000,Kedah_2019
2019,Kelantan,10986000,Kelantan_2019
2019,Melaka,13979000,Melaka_2019
2019,Negeri Sembilan,13303000,Negeri Sembilan_2019
2019,Pahang,18498000,Pahang_2019
2019,Penang,15411000,Penang_2019
2019,Perak,21070000,Perak_2019
2019,Perlis,2088000,Perlis_2019
2019,Selangor,33589000,Selangor_2019
2019,Terengganu,14158000,Terengganu_2019
2019,Sabah,22035000,Sabah_2019
2019,Sarawak,19793000,Sarawak_2019
2019,Kuala Lumpur,22633000,Kuala Lumpur_2019
2019,Labuan,524000,Labuan_2019
2019,Putrajaya,1949000,Putrajaya_2019
2020,Johor,7243000,Johor_2020
2020,Kedah,10831000,Kedah_2020
2020,Kelantan,6058000,Kelantan_2020
2020,Melaka,7275000,Melaka_2020
2020,Negeri Sembilan,7918000,Negeri Sembilan_2020
2020,Pahang,9905000,Pahang_2020
2020,Penang,8929000,Penang_2020
2020,Perak,13173000,Perak_2020
2020,Perlis,1193000,Perlis_2020
2020,Selangor,19715000,Selangor_2020
2020,Terengganu,7420000,Terengganu_2020
2020,Sabah,10337000,Sabah_2020
2020,Sarawak,9393000,Sarawak_2020
2020,Kuala Lumpur,12435000,Kuala Lumpur_2020
2020,Labuan,107000,Labuan_2020
2020,Putrajaya,451000,Putrajaya_2020
2021,Johor,3658000,Johor_2021
2021,Kedah,4023000,Kedah_2021
2021,Kelantan,1921000,Kelantan_2021
2021,Melaka,3878000,Melaka_2021
2021,Negeri Sembilan,5485000,Negeri Sembilan_2021
2021,Pahang,3405000,Pahang_2021
2021,Penang,5061000,Penang_2021
2021,Perak,4489000,Perak_2021
2021,Perlis,407000,Perlis_2021
2021,Selangor,10212000,Selangor_2021
2021,Terengganu,3719000,Terengganu_2021
2021,Sabah,3815000,Sabah_2021
2021,Sarawak,6511000,Sarawak_2021
2021,Kuala Lumpur,9116000,Kuala Lumpur_2021
2021,Labuan,54000,Labuan_2021
2021,Putrajaya,223000,Putrajaya_2021
2022,Johor,12376000,Johor_2022
2022,Kedah,11186000,Kedah_2022
2022,Kelantan,6627000,Kelantan_2022
2022,Melaka,11757000,Melaka_2022
2022,Negeri Sembilan,11490000,Negeri Sembilan_2022
2022,Pahang,13189000,Pahang_2022
2022,Penang,10003000,Penang_2022
2022,Perak,14567000,Perak_2022
2022,Perlis,1669000,Perlis_2022
2022,Selangor,21990000,Selangor_2022
2022,Terengganu,10233000,Terengganu_2022
2022,Sabah,12589000,Sabah_2022
2022,Sarawak,15465000,Sarawak_2022
2022,Kuala Lumpur,16913000,Kuala Lumpur_2022
2022,Labuan,244000,Labuan_2022
2022,Putrajaya,1306000,Putrajaya_2022
2023,Johor,15805000,Johor_2023
2023,Kedah,13444000,Kedah_2023
2023,Kelantan,7549000,Kelantan_2023
2023,Melaka,15559000,Melaka_2023
2023,Negeri Sembilan,14959000,Negeri Sembilan_2023
2023,Pahang,16456000,Pahang_2023
2023,Penang,13128000,Penang_2023
2023,Perak,17108000,Perak_2023
2023,Perlis,1951000,Perlis_2023
2023,Selangor,27579000,Selangor_2023
2023,Terengganu,11761000,Terengganu_2023
2023,Sabah,16080000,Sabah_2023
2023,Sarawak,17901000,Sarawak_2023
2023,Kuala Lumpur,22233000,Kuala Lumpur_2023
2023,Labuan,331000,Labuan_2023
2023,Putrajaya,1900000,Putrajaya_2023
2024,Johor,17138000,Johor_2024
2024,Kedah,14651000,Kedah_2024
2024,Kelantan,10514000,Kelantan_2024
2024,Melaka,19128000,Melaka_2024
2024,Negeri Sembilan,17785000,Negeri Sembilan_2024
2024,Pahang,20174000,Pahang_2024
2024,Penang,16605000,Penang_2024
2024,Perak,21776000,Perak_2024
2024,Perlis,3225000,Perlis_2024
2024,Selangor,34461000,Selangor_2024
2024,Terengganu,14461000,Terengganu_2024
2024,Sabah,20592000,Sabah_2024
2024,Sarawak,19626000,Sarawak_2024
2024,Kuala Lumpur,26983000,Kuala Lumpur_2024
2024,Labuan,450000,Labuan_2024
2024,Putrajaya,2557000,Putrajaya_2024
