State,Visitors_2015,Visitors_2016,Visitors_2017,Visitors_2018,Visitors_2019,Visitors_2020,Visitors_2021,Visitors_2022,Visitors_2023,Visitors_2024
Johor,11589000,12207000,13141000,13487000,14274000,7243000,3658000,12376000,15805000,17138000
Kedah,12425000,13188000,13305000,14480000,14831000,10831000,4023000,11186000,13444000,14651000
Kelantan,9070000,8646000,9624000,9846000,10986000,6058000,1921000,6627000,7549000,10514000
Melaka,11552000,12268000,12625000,13123000,13979000,7275000,3878000,11757000,15559000,19128000
Negeri Sembilan,9984000,10130000,10822000,12802000,13303000,7918000,5485000,11490000,14959000,17785000
Pahang,14398000,14168000,16491000,18111000,18498000,9905000,3405000,13189000,16456000,20174000
Penang,9341000,12565000,12643000,14450000,15411000,8929000,5061000,10003000,13128000,16605000
Perak,15966000,16783000,20110000,17553000,21070000,13173000,4489000,14567000,17108000,21776000
Perlis,1410000,1410000,1414000,2156000,2088000,1193000,407000,1669000,1951000,3225000
Selangor,22063000,24124000,25491000,30179000,33589000,19715000,10212000,21990000,27579000,34461000
Terengganu,11483000,12010000,12979000,13742000,14158000,7420000,3719000,10233000,11761000,14461000
Sabah,15722000,16518000,17792000,20360000,22035000,10337000,3815000,12589000,16080000,20592000
Sarawak,15355000,16282000,17670000,19380000,19793000,9393000,6511000,15465000,17901000,19626000
Kuala Lumpur,15080000,16784000,19049000,19165000,22633000,12435000,9116000,16913000,22233000,26983000
Labuan,310000,354000,381000,545000,524000,107000,54000,244000,331000,450000
Putrajaya,1188000,1816000,1872000,1892000,1949000,451000,223000,1306000,1900000,2557000
